City,Latitude,Longitude,Population
Tokyo,35.682839,139.759455,37400068
Delhi,28.613939,77.209021,29500000
Shanghai,31.230416,121.473701,25700000
São Paulo,-23.550520,-46.633308,22000000
Mexico City,19.432608,-99.133209,21500000
Cairo,30.044419,31.235712,20000000
Bangkok,13.756331,100.501762,15000000
Dhaka,23.810301,90.412521,14800000
Buenos Aires,-34.603684,-58.381559,15000000
Kolkata,22.572646,88.363895,14900000
Istanbul,41.008238,28.978359,15500000
