No.,Districts,Provinces,Company Name,Authorized Capital,Asset 61,Asset 62,Asset 63,Asset 64,Rev 61,Rev 62,Rev 63,Rev 64,Profit 61,Profit 62,Profit 63,Profit 64,ROA 61,ROA 62,ROA 63,ROA 64,ROE 61,ROE 62,ROE 63,ROE 64,NP 61,NP 62,NP 63,NP 64,Current 61,Current 62,Current 63,Current 64,Quick 61,Quick 62,Quick 63,Quick 64,A_Tirnover61,A_Tirnover62,A_Tirnover63,A_Tirnover64,DA 61,DA 62,DA 63,DA 64,DE 61,DE 62,DE 63,DE 64
222,เจริญกรุง,กทม.,บมจ. ไทยเศรษฐประกันภัย,"951,456,883.00","1,152,584,599.95","1,310,794,561.20","1,298,699,603.00","1,268,284,123.00","561,207,050.30","351,238,242.13","584,984,541.00","470,586,870.00","-70,973,640.20","-53,760,338.88","-102,497,479.00","-59,838,615.00",-6.16,-4.36,-7.86,-4.66,-47.73,-16.76,-22.57,-15.22,-12.65,-15.31,-17.52,-12.72,1.09,1.24,0.77,0.77,4.44,3.29,6.82,1.88,0.49,0.29,0.45,0.37,0.87,0.62,0.68,0.71,6.75,1.66,2.13,2.42
223,เจริญกรุง,กทม.,บราโว เจมส์ จำกัด,"4,000,000.00",,"3,597,194.13","2,891,154.93","3,074,425.91",,"2,530,031.80","936,657.07","1,215,208.71",,"-438,105.87","-688,119.20","-668,269.02",,-12.18,-21.21,-22.4,,-12.3,-21.38,-26.31,,-17.32,-73.47,-54.99,,101.9,166.35,3.54,,1.1,0.45,0.51,,0.7,0.29,0.41,,0.01,0.01,0.28,,0.01,0.01,0.39
224,เจริญกรุง,กทม.,บริษัท พีเจที ยูไนเต็ด จำกัด,"5,000,000.00","22,478,248.54","22,832,552.68","18,169,340.57","21,605,332.82","90,625,880.98","88,138,718.87","64,311,720.83","75,835,824.72","149,073.61","205,227.11","-465,371.36","2,803.25",0.71,0.91,-2.27,0.01,4.19,5.49,-12.9,0.08,0.16,0.23,-0.72,-,1.17,1.14,1.16,1.15,6.29,5.76,5.03,6.05,4.33,3.89,3.14,3.81,0.84,0.83,0.81,0.84,5.18,4.94,4.38,5.4
225,เจริญกรุง,กทม.,บลู เจมส์ จำกัด,"20,000,000.00","51,178,974.70","47,888,601.24","42,968,014.92","38,692,980.20","47,951,779.08","40,988,557.62","15,592,287.36","23,501,787.29","1,625,854.71","1,616,533.42","27,940.69","519,044.00",2.81,3.26,0.06,1.27,4.87,4.62,0.08,1.44,3.39,3.94,0.18,2.21,184.82,213.67,744.98,235.96,4.1,4.65,1.37,2.31,0.83,0.83,0.34,0.58,0.33,0.25,0.17,0.06,0.5,0.34,0.2,0.06
226,เจริญกรุง,กทม.,บลู ฟิซ โซลูชั่น จำกัด,"14,000,000.00","30,839,705.83","29,830,562.72","37,689,681.77","33,735,415.87","42,930,630.44","46,830,812.71","49,887,737.40","66,331,615.46","1,678,040.57","2,904,953.66","3,933,011.38","3,535,696.48",5.27,9.58,11.65,9.9,23.78,32.01,31.48,22.46,3.91,6.2,7.88,5.33,0.45,0.66,0.96,1,4.35,5.02,3.37,3.98,1.35,1.54,1.48,1.86,0.75,0.65,0.62,0.5,3.05,1.83,1.61,0.98
227,เจริญกรุง,กทม.,บางกอก แอสเสย์ ออฟฟิศ จำกัด,"225,000,000.00","257,878,806.02","226,374,641.21","236,574,328.64","241,033,450.92","1,697,104,943.38","1,897,790,828.83","1,890,538,562.48","2,740,114,535.31","-9,575,317.87","-18,090,677.86","16,719,991.89","16,104,480.19",-3.64,-7.47,7.22,6.74,44.93,84.6,-80.11,-360.41,-0.56,-0.95,0.88,0.59,1.37,1.21,1.36,1.62,258.59,443.41,403.45,488.6,6.46,7.84,8.17,11.47,1.05,1.13,1.05,0.99,-20.04,-8.75,-19.89,66.26
228,เจริญกรุง,กทม.,บางกอกโอปอลเจมส์,"1,000,000.00","8,678,436.46","8,659,254.55","8,481,484.14","8,552,331.32","3,424,349.25","2,339,404.64","1,196,330.22","1,935,486.49","66,535.75","56,134.39","-743,865.10","42,392.20",0.77,0.65,-8.68,0.5,0.83,0.7,-9.66,0.58,1.94,2.4,-62.18,2.19,12.82,14.43,7.2,7.09,1.38,1,0.62,1.08,0.4,0.27,0.14,0.23,0.08,0.07,0.14,0.14,0.08,0.07,0.16,0.16
229,เจริญกรุง,กทม.,บางกอกเฮ้าส์เฟอร์นิซิ่ง,"1,500,000.00","5,377,897.33","16,814,464.69","6,853,497.58","5,254,813.90","2,638,182.62","113,168,965.46","1,834,464.87","1,017,703.60","1,055,686.11","85,424,102.57","674,178.78","61,342.65",18.86,769.85,5.7,1.01,22.59,"1,654.26",10.9,1.06,40.02,75.48,36.75,6.03,19.81,1.5,70.99,169.2,"3,159.37",-,-,46.26,0.47,10.2,0.16,0.17,0.17,0.65,0.05,0.04,0.21,1.86,0.06,0.04
230,เจริญกรุง,กทม.,บางรัก มาสสาจ,"2,000,000.00","15,613,504.39","14,951,712.89","13,592,594.37","12,366,719.17","7,939,849.81","6,881,293.74","1,153,752.42",-,"-563,209.02","-1,279,429.61","-1,811,742.89","-1,496,541.94",-3.49,-8.37,-12.69,-11.53,13.78,25.55,27.64,18.23,-7.09,-18.59,-157.03,-,2.21,1.65,5.09,6.05,145.15,114.12,35.02,-,0.49,0.45,0.08,-,1.28,1.38,1.55,1.72,-4.57,-3.65,-2.82,-2.38
231,เจริญกรุง,กทม.,บางรักสปา,"2,000,000.00","15,613,504.39","14,951,712.89","13,592,594.37","12,366,719.17","7,939,849.81","6,881,293.74","1,153,752.42",-,"-563,209.02","-1,279,429.61","-1,811,742.89","-1,496,541.94",-3.49,-8.37,-12.69,-11.53,13.78,25.55,27.64,18.23,-7.09,-18.59,-157.03,-,2.21,1.65,5.09,6.05,145.15,114.12,35.02,-,0.49,0.45,0.08,-,1.28,1.38,1.55,1.72,-4.57,-3.65,-2.82,-2.38
232,เจริญกรุง,กทม.,บิวตี้เจมส์,"300,000,000.00","4,043,786,292.74","4,058,412,322.39","3,846,639,100.59","3,290,364,791.53","3,261,128,343.62","2,468,826,536.68","2,076,322,435.45","2,635,554,662.10","31,283,445.31","6,284,859.35","4,846,736.88","-258,801,582.67",0.83,0.16,0.12,-7.25,2.4,0.47,0.36,-21.51,0.96,0.25,0.23,-9.82,0.85,0.91,1.1,1.14,4.49,3.1,2.25,2.82,0.87,0.61,0.53,0.74,0.67,0.67,0.65,0.67,2.06,2.06,1.89,2.06
233,เจริญกรุง,กทม.,บี เค เจ เจมส์ จำกัด,"1,000,000.00","7,092,657.97","6,933,270.69","6,190,852.59","5,679,912.19","16,454,868.81","2,251,404.52","220,895.83","420,054.10","1,260,608.17","-112,404.60","-716,552.58","-509,406.83",19.62,-1.6,-10.92,-8.58,19.84,-1.62,-11,-8.63,7.66,-4.99,-324.38,-121.27,64.67,110.2,167.99,160.65,3.64,0.45,0.06,0.19,2.56,0.32,0.03,0.07,0.02,0.01,0.01,0.01,0.02,0.01,0.01,0.01
234,เจริญกรุง,กทม.,บี ซี เจมส์ จำกัด,"2,000,000.00","2,046,598.44","2,006,598.44","1,996,898.44","1,872,768.44",-,-,-,-,"-10,000.00","-10,000.00","-10,000.00","-124,180.00",-0.49,-0.49,-0.5,-6.42,-0.5,-0.5,-0.5,-6.45,-,-,-,-,51.16,200.66,193.87,180.94,-,-,-,-,-,-,-,-,0.02,-,0.01,0.01,0.02,-,0.01,0.01
235,เจริญกรุง,กทม.,บี.เอส.พี. อีควิปเม้นท์,"2,000,000.00","6,385,310.41","7,217,772.49","8,934,813.19","5,763,653.34","10,816,608.68","11,123,424.90","9,044,071.54","13,946,655.92","-2,760,529.25","-1,616,896.07","-931,019.03","-1,096,197.56",-37.57,-23.77,-11.53,-14.92,-134.81,"1,146.64",65.8,45.14,-25.52,-14.54,-10.29,-7.86,0.86,0.74,0.72,0.53,6.67,9.3,7.8,24.4,1.47,1.64,1.12,1.9,0.9,1.13,1.21,1.52,8.57,-8.6,-5.75,-2.94
236,เจริญกรุง,กทม.,บุญเจริญโลหะ,"9,800,000.00","72,711,025.15","61,916,849.17","59,728,372.81","64,812,704.41","100,403,202.04","91,734,315.28","68,611,674.77","93,367,171.26","3,268,303.08","1,036,777.69","-523,480.80","7,128,602.89",4.38,1.54,-0.86,11.45,5.77,1.89,-1.04,14.46,3.26,1.13,-0.76,7.64,4.19,6.54,4.82,4.4,2.87,3.16,3.32,4.41,1.35,1.36,1.13,1.5,0.22,0.14,0.2,0.22,0.29,0.17,0.24,0.28
237,เจริญกรุง,กทม.,บุญสงวน เอ็นจิเนียริ่ง จำกัด,"1,000,000.00","16,609,243.54","15,744,390.97","14,204,825.92","19,196,885.55","27,117,710.66","21,451,639.03","19,803,218.58","20,112,244.04","-1,073,587.30","-1,213,056.16","-547,445.64","-199,500.24",-7.31,-7.5,-3.66,-1.19,-11.68,-15.07,-8.21,-3.44,-3.96,-5.65,-2.76,-0.99,1.04,0.59,0.55,0.46,5.32,5.53,8.08,5.77,1.85,1.33,1.32,1.2,0.48,0.53,0.58,0.7,0.92,1.12,1.41,2.37
238,เจริญกรุง,กทม.,เบนสัน จิวเวลรี่,"40,000,000.00","238,638,871.11","232,889,802.33","250,022,317.84","257,372,286.59","224,874,803.24","209,868,897.49","177,961,345.87","201,627,252.64","2,939,726.96","4,697,534.39","173,664.62","5,120,528.65",1.25,1.99,0.07,2.02,2.61,4.04,0.15,4.22,1.31,2.24,0.1,2.54,0.68,0.78,1.06,1.13,5.5,5.99,4.79,4.65,0.95,0.89,0.74,0.79,0.52,0.49,0.52,0.52,1.09,0.96,1.1,1.08
239,เจริญกรุง,กทม.,ประดิษฐ์ศิลป์เซ็นเตอร์ จำกัด,"4,000,000.00","25,189,331.19","27,494,817.06","30,876,199.51","34,665,275.09","30,926,226.54","30,248,802.76","24,798,861.93","25,295,629.01","3,732,037.41","3,761,055.34","3,088,683.63","3,939,780.67",15.53,14.28,10.58,12.02,21.69,17.95,12.61,14.02,12.07,12.43,12.45,15.57,5.97,11.31,13.06,16.36,3.37,3.39,7.9,8.18,1.29,1.15,0.85,0.77,0.24,0.17,0.15,0.13,0.32,0.2,0.18,0.15
240,เจริญกรุง,กทม.,โปลิโฟมอุตสาหกรรม,"100,000,000.00","306,897,062.36","355,948,090.59","353,329,373.68","377,121,984.41","213,982,267.16","195,003,139.61","123,344,689.48","154,156,549.49","42,353,018.96","51,826,824.82","11,509,158.07","23,733,902.52",14.75,15.64,3.25,6.5,16.75,17.57,3.58,7,19.79,26.58,9.33,15.4,3.9,2.45,4.75,5.82,3.17,4.57,4.17,4.92,0.75,0.59,0.35,0.42,0.11,0.11,0.07,0.07,0.12,0.13,0.08,0.07
241,เจริญกรุง,กทม.,ผัดไทยอารี,"1,000,000.00","9,972,684.50","15,890,559.46","11,771,217.34","8,479,252.52","29,627,235.78","38,999,913.56","17,810,912.98","6,525,330.82","893,118.97","454,950.69","-5,964,751.91","-7,008,724.44",10.39,3.52,-43.13,-69.22,23.56,10.19,-348.69,146.75,3.01,1.17,-33.49,-107.41,1.59,1.24,7.53,9.78,9.01,10.08,7.59,81.52,3.45,3.02,1.29,0.64,0.58,0.7,1.11,1.98,1.35,2.39,-10.26,-2.02
242,เจริญกรุง,กทม.,พีเจที ยูไนเต็ด จำกัด,"5,000,000.00","22,478,248.54","22,832,552.68","18,169,340.57","21,605,332.82","90,625,880.98","88,138,718.87","64,311,720.83","75,835,824.72","149,073.61","205,227.11","-465,371.36","2,803.25",0.71,0.91,-2.27,0.01,4.19,5.49,-12.9,0.08,0.16,0.23,-0.72,-,1.17,1.14,1.16,1.15,6.29,5.76,5.03,6.05,4.33,3.89,3.14,3.81,0.84,0.83,0.81,0.84,5.18,4.94,4.38,5.4
243,เจริญกรุง,กทม.,พีดีเจ เทรดดิ้ง เอ็มเอฟจี,"1,980,000.00","1,653,223.47","1,405,111.62","1,133,906.57","968,616.64","625,600.00","604,109.66","222,511.25","192,201.32","-152,252.63","-248,111.85","-269,630.05","-165,424.93",-12.28,-16.23,-21.24,-15.74,-12.39,-16.34,-21.4,-15.87,-24.34,-41.07,-121.18,-86.07,159.96,135.96,129.44,33.01,69.57,80.59,8.12,6.9,0.5,0.4,0.18,0.18,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
