latitude,longitude,name
40.751917,-73.973103,Summit
40.772793,-73.985699,The Encore
40.771455,-73.990421,VIA 57 West
40.753226,-73.999268,The Eugene
40.70774,-74.011932,20 Broad Street
40.767499,-73.992021,525W52
40.746688,-73.983015,One Sixty Madison
40.770869,-73.992802,The Max
40.765881,-73.964121,Hanley New York
40.707356,-74.006048,70 Pine Street
