Image ID,RGB,Hue,SortColor,geometry,centroid,latitude,longitude,ZipCode,LandUse,OwnerType,YearBuilt,YearBin,SVI_ID,SortYear
385,"(139, 135, 136)",244,416,"POLYGON ((-73.95127259864661 40.822194713727676, -73.95127259864661 40.82291388705217, -73.9519917719711 40.82291388705217, -73.9519917719711 40.822194713727676, -73.95127259864661 40.822194713727676))",POINT (-73.95163218530885 40.82255430038992),40.82255430038992,-73.95163218530885,10031,1.0,,1899,0,385,10
600,"(165, 168, 173)",154,470,"POLYGON ((-73.9426425187528 40.830105620297076, -73.9426425187528 40.83082479362157, -73.94336169207729 40.83082479362157, -73.94336169207729 40.830105620297076, -73.9426425187528 40.830105620297076))",POINT (-73.94300210541503 40.83046520695932),40.83046520695932,-73.94300210541503,10032,2.0,,1899,0,600,11
587,"(119, 111, 114)",239,315,"POLYGON ((-73.94336169207729 40.82722892699911, -73.94336169207729 40.8279481003236, -73.94408086540177 40.8279481003236, -73.94408086540177 40.82722892699911, -73.94336169207729 40.82722892699911))",POINT (-73.94372127873955 40.827588513661354),40.82758851366136,-73.94372127873955,10031,1.0,,1899,0,587,12
449,"(167, 163, 155)",28,530,"POLYGON ((-73.94911507867316 40.820756367078694, -73.94911507867316 40.821475540403185, -73.94983425199764 40.821475540403185, -73.94983425199764 40.820756367078694, -73.94911507867316 40.820756367078694))",POINT (-73.94947466533542 40.82111595374094),40.82111595374094,-73.94947466533542,10031,1.0,,1899,0,449,13
523,"(113, 122, 103)",62,86,"POLYGON ((-73.94623838537522 40.821475540403185, -73.94623838537522 40.822194713727676, -73.94695755869971 40.822194713727676, -73.94695755869971 40.821475540403185, -73.94623838537522 40.821475540403185))",POINT (-73.94659797203747 40.82183512706542),40.82183512706542,-73.94659797203747,10031,1.0,,1899,0,523,14
573,"(118, 124, 111)",62,507,"POLYGON ((-73.94408086540177 40.82507140702564, -73.94408086540177 40.82579058035013, -73.94480003872626 40.82579058035013, -73.94480003872626 40.82507140702564, -73.94408086540177 40.82507140702564))",POINT (-73.94444045206401 40.82543099368788),40.82543099368788,-73.94444045206401,10031,2.0,,1899,0,573,15
607,"(132, 121, 123)",247,517,"POLYGON ((-73.94192334542832 40.830105620297076, -73.94192334542832 40.83082479362157, -73.9426425187528 40.83082479362157, -73.9426425187528 40.830105620297076, -73.94192334542832 40.830105620297076))",POINT (-73.94228293209056 40.83046520695932),40.83046520695932,-73.94228293209056,10032,1.0,,1899,0,607,16
493,"(97, 101, 93)",63,39,"POLYGON ((-73.94767673202419 40.82363306037666, -73.94767673202419 40.82435223370115, -73.94839590534868 40.82435223370115, -73.94839590534868 40.82363306037666, -73.94767673202419 40.82363306037666))",POINT (-73.94803631868643 40.82399264703891),40.82399264703891,-73.94803631868643,10031,1.0,,1899,0,493,17
576,"(122, 121, 125)",180,208,"POLYGON ((-73.94408086540177 40.82722892699911, -73.94408086540177 40.8279481003236, -73.94480003872626 40.8279481003236, -73.94480003872626 40.82722892699911, -73.94408086540177 40.82722892699911))",POINT (-73.94444045206401 40.827588513661354),40.82758851366136,-73.94444045206401,10031,1.0,,1899,0,576,18
510,"(86, 82, 87)",204,3,"POLYGON ((-73.94695755869971 40.82363306037666, -73.94695755869971 40.82435223370115, -73.94767673202419 40.82435223370115, -73.94767673202419 40.82363306037666, -73.94695755869971 40.82363306037666))",POINT (-73.94731714536195 40.82399264703891),40.82399264703891,-73.94731714536195,10031,2.0,,1899,0,510,19
