Borough,Block,Lot,CD,CT2010,CB2010,SchoolDist,Council,ZipCode,FireComp,PolicePrct,HealthCent,HealthArea,Sanitboro,SanitDistr,SanitSub,Address,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,Overlay1,Overlay2,SPDist1,SPDist2,SPDist3,LtdHeight,SplitZone,BldgClass,LandUse,Easements,OwnerType,OwnerName,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,AreaSource,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Ext,ProxCode,IrrLotCode,LotType,BsmtCode,AssessLand,AssessTot,ExemptLand,ExemptTot,YearBuilt,YearAlter1,YearAlter2,HistDist,Landmark,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BoroCode,BBL,CondoNo,Tract2010,XCoord,YCoord,ZoneMap,ZMCode,Sanborn,TaxMap,EDesigNum,APPBBL,APPDate,PLUTOMapID,FIRM07_FLA,PFIRM15_FL,Version,Shape_Leng,Shape_Area,YearBin,percent1900,percent1930,percent1960,percent2000,percent2024,std_dev,mean_value,evenness,Longitude,Latitude
MN,1867,14,109,201.01,1002,03,7,10025,E047,26,16,1800,1,09,1B,403 WEST 114 STREET,R8,,,,,,,,,,N,M1,08,0,X,RC CB NOTRE DAME,3229,7680,7680,0,0,0,0,0,0,7680,2,1,4.0,0,1,32.0,100.92,32.0,91.0,,3,Y,5,2,105750.0,482400.0,105750.0,482400.0,1914,1989,0,,INDIVIDUAL LANDMARK,2.38,6.02,0.0,6.5,1,1018670014.0,0,020101,995125,232640,5c,,107N067,10703,,0.0,,1,,,18v2,266.642762065,3063.83658896,1900-1930,0.0,0.7727272727272727,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.32237496775449354,0.2,0.6203955622631208,-73.96071783910952,40.80521222494743
MN,1867,20,109,201.01,1002,03,7,10025,E047,26,16,1800,1,09,1B,405 WEST 114 STREET,R8,,,,,,,,,,N,M1,08,0,X,NOVITIATE FATHERS MER,19167,20591,20591,0,0,0,0,0,0,20591,2,1,2.0,0,1,184.0,101.0,88.0,93.0,,2,Y,3,2,769500.0,2362500.0,769500.0,2362500.0,1914,1989,0,,INDIVIDUAL LANDMARK,1.07,6.02,0.0,6.5,1,1018670020.0,0,020101,995212,232593,5c,,107N067,10703,,0.0,,1,,,18v2,565.363027063,17278.3036454,1900-1930,0.0,0.8,0.1,0.05,0.05,0.3372684390808011,0.2,0.592999451570639,-73.96040365860624,40.80508311538817
MN,1867,23,109,201.01,1002,03,7,10025,E047,26,16,1800,1,09,1Q,402 WEST 115 STREET,R8,,,,,,,,,,N,D7,04,0,,TRUSTEES OF COLUMBIA,10417,47145,7145,40000,7145,0,0,0,0,0,2,1,6.0,32,36,100.0,104.17,76.0,96.0,,1,Y,3,2,360000.0,1349100.0,313200.0,1173717.0,1920,1988,0,,,4.53,6.02,0.0,6.5,1,1018670023.0,0,020101,995263,232680,5c,,107N067,10703,,0.0,,1,,,18v2,433.46011081,11547.4715195,1900-1930,0.0,0.85,0.1,0.05,0.0,0.3657184709581948,0.2,0.5468687401244036,-73.96021929648575,40.80532184298717
MN,1867,42,109,201.01,1001,03,7,10025,E047,26,16,1800,1,09,1B,1125 AMSTERDAM AVENUE,R8,,,,C1-4,,,,,,N,W5,08,0,X,TRUSTEES OF COLUMBIA,10068,83170,83170,0,0,0,0,0,0,83170,2,2,10.0,0,1,100.68,100.0,100.68,100.0,,0,N,3,0,351450.0,20242350.0,351450.0,20242350.0,1997,0,0,,,8.26,6.02,0.0,6.5,1,1018670042.0,0,020101,995018,233001,5c,,107N067,10703,,1018670042.0,12/05/1991,1,,,18v2,418.64577551,10952.7533292,1960-2000,0.0,0.8571428571428571,0.047619047619047616,0.09523809523809523,0.0,0.3694698045956347,0.19999999999999998,0.5413162238726741,-73.96110376038416,40.806203201426854
MN,1867,46,109,201.01,1001,03,7,10025,E047,26,16,1800,1,09,1B,419 WEST 115 STREET,R8,,,,,,,,,,N,D1,03,0,,TRUSTEES OF COLUMBIA,6728,28188,0,28188,0,0,0,0,0,0,2,1,6.0,24,24,66.67,100.92,67.0,84.0,,2,N,5,2,432450.0,2349900.0,402179.0,2185409.0,1925,1985,0,,,4.19,6.02,0.0,6.5,1,1018670046.0,0,020101,995093,232960,5c,,107N067,10703,,0.0,,1,,,18v2,340.09058355,6847.96454168,1900-1930,0.0,0.9,0.05,0.05,0.0,0.392109678533953,0.2,0.5100613691498577,-73.9608329111522,40.80609057601897
MN,1867,49,109,201.01,1001,03,7,10025,E047,26,16,1800,1,09,1B,415 WEST 115 STREET,R8,,,,,,,,,,N,D1,03,0,,TRUSTEES OF COLUMBIA,6728,28188,0,28188,0,0,0,0,0,0,2,1,6.0,24,24,66.67,100.92,67.0,84.0,,3,N,5,2,390600.0,2270700.0,359352.0,2089044.0,1920,1985,0,,,4.19,6.02,0.0,6.5,1,1018670049.0,0,020101,995151,232928,5c,,107N067,10703,,0.0,,1,,,18v2,343.612770049,7032.05134422,1900-1930,0.0,0.9,0.05,0.05,0.0,0.392109678533953,0.2,0.5100613691498577,-73.9606234555176,40.80600267348007
MN,1867,52,109,201.01,1001,03,7,10025,E047,26,16,1800,1,09,1B,411 WEST 115 STREET,R8,,,,,,,,,,N,D1,03,0,,TRUSTEES OF COLUMBIA,6728,28188,0,28188,0,0,0,0,0,0,2,1,6.0,24,24,66.67,100.92,67.0,84.0,,3,N,5,2,450000.0,2011500.0,324000.0,1448280.0,1925,1985,0,,,4.19,6.02,0.0,6.5,1,1018670052.0,0,020101,995209,232895,5c,,107N067,10703,,0.0,,1,,,18v2,339.36556262,6810.06339747,1900-1930,0.0,0.9,0.05,0.05,0.0,0.392109678533953,0.2,0.5100613691498577,-73.96041400206863,40.8059120258353
MN,1867,54,109,201.01,1001,03,7,10025,E047,26,16,1800,1,09,1B,403 WEST 115 STREET,R8,,,,,,,,,,N,D1,03,0,,TRUSTEES OF COLUMBIA,6560,27821,0,27821,0,0,0,0,0,0,2,1,6.0,30,30,65.0,100.92,65.0,86.0,,3,N,5,2,372150.0,1949850.0,334935.0,1754865.0,1920,1987,0,,,4.24,6.02,0.0,6.5,1,1018670054.0,0,020101,995266,232863,5c,,107N067,10703,,0.0,,1,,,18v2,343.079135055,7004.16157917,1900-1930,0.0,0.9,0.05,0.05,0.0,0.392109678533953,0.2,0.5100613691498577,-73.96020815973458,40.805824123779665
MN,1867,59,109,201.01,1001,03,7,10025,E047,26,16,1800,1,09,1B,401 WEST 115 STREET,R8,,,,,,,,,,N,D4,03,0,,LA TOURAINE APARTMENT,8578,35040,0,35040,0,0,0,0,0,0,2,1,6.0,24,24,85.0,100.92,73.0,88.0,,2,N,3,2,360000.0,2400300.0,30500.0,30500.0,1921,0,0,,,4.08,6.02,0.0,6.5,1,1018670059.0,0,020101,995331,232828,5c,,107N067,10703,,0.0,,1,,,18v2,372.008286908,8516.24127433,1900-1930,0.0,0.9047619047619048,0.047619047619047616,0.047619047619047616,0.0,0.3946926816209924,0.2,0.506723354159702,-73.95997342545054,40.80572797715304
MN,1867,60,109,201.01,1001,03,7,10025,E047,26,16,1800,1,09,1R,54 MORNINGSIDE DRIVE,R8,,,,,,,,,,N,D4,03,0,,MONT CENIS APARTMENT,9083,38334,0,38334,0,0,0,0,0,0,2,1,6.0,25,25,90.0,100.92,82.0,87.0,,2,N,3,2,405000.0,3566250.0,116100.0,116100.0,1925,1987,0,,,4.22,6.02,0.0,6.5,1,1018670060.0,0,020101,995382,232922,5c,,107N067,10703,,0.0,,1,,,18v2,387.647118766,9232.21979605,1900-1930,0.0,0.95,0.0,0.05,0.0,0.41982139059366663,0.2,0.47639306620557914,-73.95978904839372,40.80598591710757
